City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Memaliaj,AL,2021-05-24 20:06:14,40.3517,19.9803,70.09,58,2,4.81
261,Saint-Paul,RE,2021-05-24 20:06:14,-21.0096,55.2707,71.71,81,49,1.59
262,Sao Filipe,CV,2021-05-24 20:06:14,14.8961,-24.4956,73.74,77,2,13.18
263,Sorland,NO,2021-05-24 20:03:53,67.667,12.6934,44.67,74,33,16.87
264,Dabakala,CI,2021-05-24 20:06:15,8.3667,-4.4333,87.26,51,99,3.11
265,Mount Gambier,AU,2021-05-24 20:02:57,-37.8333,140.7667,66.11,45,100,19.57
266,Matay,EG,2021-05-24 20:06:16,28.419,30.7792,81.75,22,0,9.53
267,Shelburne,CA,2021-05-24 20:06:16,44.0787,-80.2041,71.26,57,1,5.28
268,Krasnyy Chikoy,RU,2021-05-24 20:06:16,50.3643,108.7512,37.65,59,100,1.74
269,Lasa,IT,2021-05-24 20:02:38,46.6166,10.7002,48.94,100,100,0.49
270,Dunedin,NZ,2021-05-24 20:06:17,-45.8742,170.5036,43.81,70,5,3.0
271,Kirensk,RU,2021-05-24 20:06:17,57.7853,108.1119,36.73,58,0,1.83
272,Sao Francisco De Assis,BR,2021-05-24 20:06:18,-29.5503,-55.1311,57.94,69,0,6.33
273,Itarema,BR,2021-05-24 20:06:18,-2.9248,-39.9167,81.21,79,72,13.71
274,Svetlogorsk,BY,2021-05-24 20:06:18,52.6333,29.7333,51.03,80,33,4.25
275,Turukhansk,RU,2021-05-24 20:06:18,65.8167,87.9833,30.69,79,99,21.0
276,Inhambane,MZ,2021-05-24 20:06:19,-23.865,35.3833,65.39,69,0,4.79
277,Ishinomaki,JP,2021-05-24 20:06:19,38.4167,141.3,60.75,83,97,8.12
278,Kisangani,CD,2021-05-24 20:06:19,0.5167,25.2,71.38,93,86,2.82
279,Mehamn,NO,2021-05-24 20:06:20,71.0357,27.8492,39.15,56,0,4.61
