City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
86,Caucaia,BR,2021-05-28 17:15:43,-3.7361,-38.6531,few clouds,87.75,64,20,8.41
87,Kapaa,US,2021-05-28 17:15:44,22.0752,-159.319,broken clouds,75.52,84,75,9.33
88,Huangpu,CN,2021-05-28 17:15:44,25.4433,113.1747,overcast clouds,75.63,96,100,1.86
89,Boulsa,BF,2021-05-28 17:15:44,12.6675,-0.5758,broken clouds,96.78,28,80,8.88
90,Montrose,US,2021-05-28 17:15:45,38.4166,-108.2673,clear sky,65.73,16,1,6.33
91,Hilo,US,2021-05-28 17:13:03,19.7297,-155.09,overcast clouds,75.27,77,90,8.05
92,Carnarvon,AU,2021-05-28 17:11:06,-24.8667,113.6333,light rain,69.87,100,75,8.05
93,Fairbanks,US,2021-05-28 17:15:45,64.8378,-147.7164,clear sky,43.21,56,1,12.66
94,Acarau,BR,2021-05-28 17:15:46,-2.8856,-40.12,few clouds,86.68,59,13,13.73
95,Lota,CL,2021-05-28 17:15:46,-37.0833,-73.1667,overcast clouds,56.66,84,100,5.59
96,Guadalupe Y Calvo,MX,2021-05-28 17:15:46,26.1,-106.9667,clear sky,77.34,10,0,6.98
97,Hovd,MN,2021-05-28 17:15:47,48.0056,91.6419,clear sky,56.43,39,4,2.73
98,Dingle,PH,2021-05-28 17:15:47,10.9995,122.6711,light rain,78.78,87,87,2.17
99,Saint Anthony,US,2021-05-28 17:15:47,45.0205,-93.218,clear sky,55.87,46,1,1.99
100,Paratinga,BR,2021-05-28 17:15:48,-12.6906,-43.1842,clear sky,94.12,22,5,3.69
101,Mar Del Plata,AR,2021-05-28 17:15:48,-38.0023,-57.5575,light rain,64.0,44,0,3.0
102,Namwala,ZM,2021-05-28 17:15:49,-15.7504,26.4384,clear sky,62.82,29,0,2.01
103,Port Alfred,ZA,2021-05-28 17:15:49,-33.5906,26.891,clear sky,64.08,74,0,18.77
104,Otradnoye,RU,2021-05-28 17:15:49,59.7775,30.8181,broken clouds,57.25,69,56,8.59
