City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
258,Sinnamary,GF,79.5,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
259,Russell,US,86.13,scattered clouds,32.3502,-85.1999,Macs
264,Kazerun,IR,83.77,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
267,Isangel,VU,70.09,broken clouds,-19.55,169.2667,Tanna Lodge
269,Misratah,LY,78.71,scattered clouds,32.3754,15.0925,فندق الماسة
270,Salinopolis,BR,84.94,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
278,Sao Paulo Do Potengi,BR,86.11,broken clouds,-5.895,-35.7628,Pousada e Restaurante Carne Assada do Ari
282,Caravelas,BR,82.04,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
283,Najran,SA,85.73,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
285,Galesong,ID,77.02,scattered clouds,-5.3166,119.3661,Sapriadi Appy
289,Palu,ID,75.79,clear sky,-0.8917,119.8707,Hotel Santika Palu
291,Guymon,US,70.48,clear sky,36.6828,-101.4816,Super 8 Guymon
293,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
295,San Ignacio,BZ,89.74,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
297,Katsuura,JP,70.2,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
300,Hirara,JP,81.03,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
303,Amelia,IT,78.84,clear sky,42.5523,12.4182,Ristorante Scoglio Dell'Aquilone Srl
313,Sao Filipe,CV,73.11,clear sky,14.8961,-24.4956,Hotel Xaguate
315,Tiznit,MA,74.62,overcast clouds,29.5833,-9.5,
316,Tiarei,PF,75.22,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
318,Port Blair,IN,82.08,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
321,Hobyo,SO,80.1,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
325,Sao Joao De Pirabas,BR,85.98,few clouds,-0.7747,-47.1772,POUSADA SOL E MAR
327,Sorong,ID,78.31,scattered clouds,-0.8833,131.25,waigo splash hotel
328,Faya,SA,73.51,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
329,Ixtapa,MX,81.63,clear sky,20.7,-105.2,Hotel Plaza Providencia
334,Sibolga,ID,76.03,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
335,Sumbe,AO,78.08,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
339,Sattahip,TH,85.23,heavy intensity rain,12.6664,100.9007,Makmai Sailom Heights
342,Sawang Daen Din,TH,81.01,broken clouds,17.4753,103.4575,บ้านเจเน็ต คอมพิวเตอร์
349,Gorontalo,ID,76.17,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
351,Zaragoza,ES,87.03,few clouds,41.6561,-0.8773,Hotel Goya
353,Biak,ID,76.77,scattered clouds,-0.9131,122.8766,Penginapan Kim
354,Santa Barbara,US,75.15,clear sky,34.7333,-120.0343,Upper Ballard Campground
355,Garowe,SO,84.78,overcast clouds,8.4054,48.4845,Curubo Hotel
357,Tautira,PF,75.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
359,Ambulu,ID,75.65,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
363,Poum,NC,72.5,clear sky,-20.2333,164.0167,Gîte kajeon
365,Kirakira,SB,76.32,overcast clouds,-10.4544,161.9205,SanBiz Lodge
366,Raga,SS,83.89,clear sky,8.4596,25.678,
370,Kerman,IR,76.86,clear sky,30.2832,57.0788,هتل آپارتمان آسام
371,Saint-Pierre,RE,71.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
372,Mbuji-Mayi,CD,80.4,broken clouds,-6.15,23.6,GKT Hotel
374,Nanyang,CN,70.45,light rain,32.9947,112.5328,Wolong Memory Hotel
